objectArea,channel1_MeanIntensity,channel2_MeanIntensity,channel1_MeanBackgroundIntensity,channel2_MeanBackgroundIntensity,channel1_IntegratedIntensityAboveBackground,channel2_IntegratedIntensityAboveBackground,ratio_1_over_2,xPosition,yPosition,Var11_1,FileName,Condition
190,1.3678,1.6408,0.0381,0.0465,252.6598,302.9142,0.8341,1951.7789,1551.1421,,L2-2_059,L2-2
220,1.2455,1.9522,0.0414,0.0478,264.9048,418.9762,0.6323,247.3045,1916.5091,,L2-2_060,L2-2
555,1.7008,2.2037,0.0414,0.0478,921.0071,1196.5211,0.7697,363.8324,1587.0072,,L2-2_060,L2-2
264,1.7288,2.6665,0.0414,0.0478,445.4773,691.3488,0.6444,449.0568,1112.1591,,L2-2_060,L2-2
226,2.0509,2.5798,0.0414,0.0478,454.1459,572.2416,0.7936,1402.6593,1161.2301,,L2-2_060,L2-2
123,1.4,2.0512,0.0414,0.0478,167.1179,246.4202,0.6782,1738.6829,1649.3577,,L2-2_060,L2-2
201,0.5628,0.739,0.0408,0.0491,104.941,138.6791,0.7567,129.6368,1169.6368,,L2-2_061,L2-2
363,1.6654,1.5683,0.0408,0.0491,589.7368,551.4715,1.0694,1660.8898,588.9917,,L2-2_061,L2-2
381,1.0729,1.5139,0.0408,0.0491,393.2536,558.0891,0.7046,1897.6037,1619.1549,,L2-2_061,L2-2
448,2.9159,3.5245,0.0414,0.0524,1287.7751,1555.4982,0.8279,755.2188,1061.7902,,L2-2_062,L2-2
168,2.3815,3.2594,0.0414,0.0524,393.1363,538.7838,0.7297,940.5,1553.8333,,L2-2_062,L2-2
272,2.4904,3.0021,0.0414,0.0524,666.1231,802.3133,0.8303,1026.8272,1220.6985,,L2-2_062,L2-2
289,2.4679,2.9119,0.0414,0.0524,701.2704,826.3893,0.8486,1136.7578,1029.4394,,L2-2_062,L2-2
225,2.5278,4.2669,0.0414,0.0524,559.4435,948.2624,0.59,1247.7556,1627.5111,,L2-2_062,L2-2
225,2.6855,3.4977,0.0414,0.0524,594.9116,775.1892,0.7674,1291.5156,524.7511,,L2-2_062,L2-2
444,2.2896,3.088,0.0407,0.0465,998.5015,1350.4376,0.7394,646.8851,648.0495,,L1-1_063,L1-1
165,1.4762,2.1809,0.0407,0.0465,236.8481,352.1879,0.6725,686.6364,967.8485,,L1-1_063,L1-1
327,2.0307,2.4668,0.0407,0.0465,650.706,791.4683,0.8222,1164.5413,378.7462,,L1-1_063,L1-1
446,1.3916,2.1663,0.0407,0.0465,602.4982,945.4317,0.6373,1404.0336,1481.5247,,L1-1_063,L1-1
243,1.4179,2.5615,0.0407,0.0465,334.65,611.1659,0.5476,1482.8148,1021.9794,,L1-1_063,L1-1
195,0.7887,1.3525,0.0435,0.0581,145.32,252.4166,0.5757,460.3846,1875.8205,,L1-1_064,L1-1
409,2.5572,4.7022,0.0435,0.0581,1028.0947,1899.4295,0.5413,1022.6137,1598.7995,,L1-1_064,L1-1
402,3.8478,4.486,0.0435,0.0581,1529.3349,1780.0258,0.8592,1150.7637,419.5299,,L1-1_064,L1-1
300,1.3752,2.0975,0.0435,0.0581,399.5098,611.83,0.653,1432.0267,1458.4467,,L1-1_064,L1-1
169,0.9356,1.3321,0.0402,0.0455,151.318,217.4334,0.6959,177.1598,118.4556,,L1-1_065,L1-1
260,1.0842,1.4183,0.0402,0.0455,271.4252,356.9219,0.7605,494.8808,886.9885,,L1-1_065,L1-1
251,1.1391,1.3497,0.0402,0.0455,275.8051,327.3392,0.8426,928.1434,613.4223,,L1-1_065,L1-1
158,0.9701,1.2258,0.0402,0.0455,146.9154,186.4847,0.7878,1085.7911,1045.6456,,L1-1_065,L1-1
188,0.9023,1.5665,0.0402,0.0455,162.069,285.9444,0.5668,1259.1543,1663.867,,L1-1_065,L1-1
262,0.8465,1.5173,0.0402,0.0455,211.2555,385.6081,0.5479,1447.9008,1433.0534,,L1-1_065,L1-1
334,0.9889,1.4735,0.0402,0.0455,316.8504,476.9323,0.6644,1536.2934,1450.1886,,L1-1_065,L1-1
117,0.8957,1.3131,0.0402,0.0455,100.0933,148.3066,0.6749,1755.453,1281.5128,,L1-1_065,L1-1
189,0.5054,0.6921,0.0414,0.0424,87.7017,122.7838,0.7143,68.1111,684.2011,,L1-1_066,L1-1
