objectArea,channel1_MeanIntensity,channel2_MeanIntensity,channel1_MeanBackgroundIntensity,channel2_MeanBackgroundIntensity,channel1_IntegratedIntensityAboveBackground,channel2_IntegratedIntensityAboveBackground,ratio_1_over_2,xPosition,yPosition,FileName,Condition
294,83.4884,34.9993,0.0518,0.0442,24530.3592,10276.8114,2.387,614.3333,1405.415,L8_003,L8
334,134.4511,48.0989,0.0518,0.0442,44889.3632,16050.2818,2.7968,646.0898,897.2066,L8_003,L8
124,72.0929,33.174,0.0518,0.0442,8933.1015,4108.094,2.1745,1542.8387,534.8387,L8_003,L8
266,120.16,42.4095,0.0518,0.0442,31948.7982,11269.1582,2.8351,1586.4398,746.9361,L8_003,L8
259,123.1042,41.0566,0.0518,0.0442,31870.5651,10622.2217,3.0004,1787.9112,416.251,L8_003,L8
391,69.9549,41.5728,0.0429,0.0427,27335.6068,16238.2699,1.6834,587.9949,1675.2123,L8_154,L8
268,47.0338,17.202,0.0429,0.0427,12593.5685,4598.6926,2.7385,673.7052,473.6418,L8_154,L8
358,39.3916,14.4324,0.0429,0.0427,14086.8303,5151.4948,2.7345,1042.5615,500.0391,L8_154,L8
341,46.3536,16.5321,0.0429,0.0427,15791.9668,5622.862,2.8085,1590.5396,224.9765,L8_154,L8
335,48.8073,20.7365,0.0429,0.0427,16336.0785,6932.4119,2.3565,1734.2507,457.7134,L8_154,L8
224,25.8196,11.9404,0.0424,0.0421,5774.0753,2665.2278,2.1664,76.9732,1148.5536,L8_155,L8
245,25.8245,21.7456,0.0424,0.0421,6316.599,5317.3488,1.1879,850.3347,1147.7878,L8_155,L8
356,111.4921,37.8861,0.0424,0.0421,39676.0644,13472.4498,2.945,1496.0169,488.8483,L8_155,L8
740,138.9558,62.8724,0.0424,0.0421,102795.9102,46494.4146,2.2109,1675.3554,1499.6324,L8_155,L8
393,96.5493,35.6846,0.0895,0.0625,37908.732,13999.4733,2.7079,427.5649,378.5776,L8_156,L8
110,32.2001,29.7788,0.0895,0.0625,3532.1727,3268.7904,1.0806,652.2909,1760.1909,L8_156,L8
395,39.1334,29.1642,0.0895,0.0625,15422.3431,11495.1562,1.3416,1486.5772,1029.9443,L8_156,L8
268,40.3126,19.7553,0.0895,0.0625,10779.8045,5277.6563,2.0425,1602.9851,1609.2313,L8_156,L8
208,38.9013,16.5588,0.0895,0.0625,8072.8567,3431.2189,2.3528,1823.7356,1191.8029,L8_156,L8
498,79.9806,41.6687,0.038,0.0389,39811.417,20731.6292,1.9203,249.7129,584.1285,L8_157,L8
288,91.0246,28.6002,0.038,0.0389,26204.1643,8225.6478,3.1857,600.3785,280.9826,L8_157,L8
81,62.4599,48.5857,0.038,0.0389,5056.1742,3932.2884,1.2858,935,1559,L8_157,L8
189,92.0734,42.7168,0.038,0.0389,17394.7064,8066.1301,2.1565,1015.2011,1591.5608,L8_157,L8
359,118.8191,36.4132,0.038,0.0389,42642.4145,13058.361,3.2655,1032.9666,167.0557,L8_157,L8
300,190.9611,66.9314,0.0239,0.035,57281.1644,20068.9389,2.8542,234.9433,537.57,L8_158,L8
222,129.6836,43.6598,0.0239,0.035,28784.4455,9684.7156,2.9722,382.5541,546.5631,L8_158,L8
292,180.5396,59.5531,0.0239,0.035,52710.5918,17379.3086,3.033,721.0377,372,L8_158,L8
436,163.8485,75.4744,0.0239,0.035,71427.5435,32891.5848,2.1716,1373.0344,1713.5573,L8_158,L8
426,146.947,61.6525,0.0239,0.035,62589.2553,26249.0902,2.3844,1771.6479,1224.9249,L8_158,L8
233,73.3373,30.496,0.0382,0.0425,17078.6799,7095.6749,2.4069,176.3348,1093.9099,L8_159,L8
331,98.1687,32.0517,0.0382,0.0425,32481.2064,10595.033,3.0657,469.0363,298.4502,L8_159,L8
475,90.0997,35.4358,0.0382,0.0425,42779.2137,16811.8241,2.5446,796.1053,872.0463,L8_159,L8
113,65.9062,49.8808,0.0382,0.0425,7443.0837,5631.7223,1.3216,803.1858,1736.1858,L8_159,L8
256,85.9551,49.3133,0.0382,0.0425,21994.7194,12613.3342,1.7438,968.7734,1319.2773,L8_159,L8
269,80.8455,36.7557,0.0382,0.0425,21737.1713,9875.8448,2.201,1915.8885,1255.342,L8_159,L8
402,28.1866,15.1423,0.0457,0.0521,11312.6762,6066.2516,1.8649,493.7015,1361.6841,L8_161,L8
370,41.0807,21.8212,0.0457,0.0521,15182.9581,8054.5474,1.885,945.1946,655.4838,L8_161,L8
413,36.6105,22.9543,0.0457,0.0521,15101.2604,9458.575,1.5966,1049.1332,1514.7094,L8_161,L8
333,22.0383,19.2669,0.0457,0.0521,7323.5551,6398.531,1.1446,1239.3453,1548.8258,L8_161,L8
249,27.3815,19.5685,0.112,0.1047,6790.0959,4846.4677,1.401,306.8394,1264.4096,R1_017,R1
607,25.647,18.5017,0.112,0.1047,15499.7693,11166.9666,1.388,336.1203,1313.6573,R1_017,R1
92,20.321,12.3284,0.112,0.1047,1859.2316,1124.5817,1.6533,876,148.5,R1_017,R1
119,22.2941,12.726,0.112,0.1047,2639.6641,1501.9351,1.7575,1806,1308,R1_017,R1
283,41.0853,17.7344,0.112,0.1047,11595.4313,4989.1897,2.3241,1887.5088,376.0283,R1_017,R1
333,28.8921,16.6967,0.112,0.1047,9583.7839,5525.1382,1.7346,1920.8919,580.2132,R1_017,R1
92,19.0992,13.3841,0.0404,0.0472,1753.4161,1226.9872,1.429,235,1320.5,R1_018,R1
342,81.3359,51.6131,0.0404,0.0472,27803.0523,17635.5378,1.5765,357.962,900.7924,R1_018,R1
99,18.8729,11.8482,0.0404,0.0472,1864.4166,1168.297,1.5958,476.6768,1280.3232,R1_018,R1
458,28.2194,17.7454,0.0404,0.0472,12906.0005,8105.7479,1.5922,811.6943,417.7424,R1_018,R1
342,31.5178,20.8626,0.0404,0.0472,10765.2659,7118.8669,1.5122,883.1608,1008.3801,R1_018,R1
381,42.6894,28.1821,0.0404,0.0472,16249.289,10719.3966,1.5159,1433.6929,806.294,R1_018,R1
583,33.6519,17.6182,0.0331,0.0432,19599.7304,10246.229,1.9129,525.8937,374.7719,R1_019,R1
456,60.5605,33.6278,0.0331,0.0432,27600.4701,15314.5565,1.8022,1205.4605,516.3925,R1_019,R1
357,27.3639,17.2247,0.0331,0.0432,9757.0794,6133.8006,1.5907,1615.7227,1057.042,R1_019,R1
227,18.4568,9.1056,0.0331,0.0432,4182.1788,2057.1662,2.033,1984.9736,233.6564,R1_019,R1
277,23.1051,12.7948,0.0343,0.0464,6390.5947,3531.2942,1.8097,831.787,887.6462,R1_020,R1
378,40.2191,21.8459,0.0343,0.0464,15189.8532,8240.1894,1.8434,1261.3333,623.1825,R1_020,R1
226,18.1257,12.6994,0.0343,0.0464,4088.6491,2859.5875,1.4298,1339.9646,1914.5487,R1_020,R1
442,65.8162,39.855,0.0343,0.0464,29075.5974,17595.4185,1.6525,1461.6652,866.2285,R1_020,R1
152,16.8577,8.9467,0.0343,0.0464,2557.1512,1352.8407,1.8902,1485.1382,315.3026,R1_020,R1
